# wavelength,transmittance
6.517930000000000064e+02,7.588895177333200293e-01
6.527920000000000300e+02,7.585302439740100322e-01
6.537920000000000300e+02,7.577528435540600293e-01
6.547909999999999400e+02,7.573171739009200154e-01
6.557909999999999400e+02,7.570020916995600091e-01
6.567899999999999636e+02,7.579584848038699585e-01
6.577899999999999636e+02,7.575439990928799494e-01
6.587889999999999873e+02,7.572282969228699701e-01
6.597880000000000109e+02,7.574724319723199484e-01
6.607880000000000109e+02,7.570885410329100118e-01
6.617870000000000346e+02,7.575172797150500070e-01
6.627870000000000346e+02,7.568029917418800379e-01
6.637859999999999445e+02,7.570583476578299775e-01
6.647850000000000819e+02,7.559094979702799533e-01
6.657850000000000819e+02,7.555685319299599856e-01
6.667839999999999918e+02,7.560524839738299585e-01
6.677839999999999918e+02,7.560714900402499827e-01
6.687830000000000155e+02,7.565284012840699512e-01
6.697819999999999254e+02,7.558433524390599789e-01
6.707819999999999254e+02,7.554238854131900549e-01
6.717810000000000628e+02,7.561960020531900417e-01
6.727810000000000628e+02,7.571165976897800132e-01
6.737799999999999727e+02,7.567477044954800114e-01
6.747799999999999727e+02,7.570255255246499670e-01
6.757789999999999964e+02,7.569203125108500130e-01
6.767780000000000200e+02,7.573595813806199839e-01
6.777780000000000200e+02,7.575182565326999962e-01
6.787770000000000437e+02,7.571670046838799850e-01
6.797770000000000437e+02,7.564537403437300300e-01
6.807760000000000673e+02,7.582451537514199869e-01
6.817749999999999773e+02,7.571593957714299883e-01
6.827749999999999773e+02,7.578953545915699808e-01
6.837740000000000009e+02,7.573598624905399923e-01
6.847740000000000009e+02,7.568008933535099736e-01
6.857729999999999109e+02,7.573359009852700385e-01
6.867720000000000482e+02,7.578896931254700542e-01
6.877720000000000482e+02,7.570555790558299858e-01
6.887709999999999582e+02,7.576674175682700518e-01
6.897709999999999582e+02,7.575281235495600063e-01
6.907699999999999818e+02,7.568321651587399668e-01
6.917699999999999818e+02,7.568638034030400474e-01
6.927690000000000055e+02,7.583035325996400067e-01
6.937680000000000291e+02,7.563883985895899498e-01
6.947680000000000291e+02,7.574158107402599871e-01
6.957670000000000528e+02,7.562349344273100460e-01
6.967670000000000528e+02,7.566625412587899557e-01
6.977659999999999627e+02,7.567354579658599478e-01
6.987649999999999864e+02,7.565582892044000474e-01
6.997649999999999864e+02,7.556784803072600365e-01
7.007640000000000100e+02,7.567777697417900074e-01
7.017640000000000100e+02,7.562722404864800074e-01
